gene_id	gene_name	CONTROL1_REP1	CONTROL1_REP2	TREATMENT1_REP1	TREATMENT1_REP2	TREATMENT2_REP1	TREATMENT2_REP2
AT1G01010	NAC001	1424.477	1374.322	1387.195	1339.219	1414.822	1406.015
AT1G01020	ARV1	629.783324860724	502.005421747518	501.954773241451	483.962423935211	524.627929311018	515.289124969121
AT1G01030	NGA3	1659.571	1590.214	1606.302	1548.928	1636.643	1678.057
AT1G01040	DCL1	6122.939	6005.4974706318	5727.81479288452	5853.32314529962	5931.723	5936.98705208497
AT1G01046	MIR838A	9	9	9	9	9	9
AT1G01050	PPA1	618.666	586.435	610.096	584.025	618.617	609.818
AT1G01060	LHY	2390.454	2286.92470868679	2251.90840849992	2217.81720963574	2342.691	2318.00481243681
AT1G01070	AT1G01070	904.452593887298	853.073	845.483	821.575	870.764264880065	873.116
AT1G01073	AT1G01073	3	3	3	3	3	3
AT1G01080	AT1G01080	956.599	929.391	925.567	930.514597651798	948.868	950.385088205192
AT1G01090	PDH-E1 ALPHA	1309.963	1328.108	1297.926	1335.43	1301.995	1297.758
AT1G01100	RPP1A	419.252264923704	407.206727792148	428.292047308689	408.269959673137	437.439730174702	440.099
AT1G01110	IQD18	1808.984	1676.19422467657	1273.732	1753.25827262348	1493.38813014929	1662.67016232754
AT1G01115	AT1G01115	3	3	3	3	3	3
AT1G01120	KCS1	1876.244	1933.372	1906.001	1965.14	1926.569	1941.249
AT1G01130	AT1G01130	141.548	145.036	138.361	139.449	137.664	136.051
AT1G01140	CIPK9	1532.237	1525.95424012232	1515.366	1525.85220435045	1530.294	1532.461
AT1G01150	AT1G01150	857.428216816428	857.428216816428	857.428216816428	857.428216816428	854.569	860.297
AT1G01160	GIF2	884.275	923.171268061895	844.206084200643	867.352850537968	855.281560997816	867.038
AT1G01170	AT1G01170	251	251	251	257.311062794274	253.464907754915	255.807854646122
AT1G01180	AT1G01180	1147.409	1197.432	1225.385	1255.665	1242.778	1269.757
AT1G01183	MIR165A	3	3	3	3	3	3
AT1G01190	CYP78A8	1559.944	1604.81	1546.765	1581.68	1563.645	1586.987
AT1G01200	RABA3	946.46	976.792	987.338581542619	1001.417	998.699	1014.791
AT1G01210	AT1G01210	334.724	321.949	320.641	316.824	328.156	323.098
AT1G01220	FKGP	3137.807	3118.506	2979.35	3026.377	3040.321	3041.824
AT1G01225	AT1G01225	746.754	726.981	741.212	732.246	756.328	755.925
AT1G01230	AT1G01230	535.001	506.538	521.268	501.088	534.884	526.166
AT1G01240	AT1G01240	1205.32438913405	1106.87650764909	1202.66816765314	1131.28004716078	1176.61878297188	1186.24651745245
AT1G01250	ERF023	709.315	714.625	719.755577675373	716.936	726.304	731.828
AT1G01260	BHLH13	2319.7294418035	2248.10013901196	2206.096	2182.38926939142	2267.28504111884	2246.75826770499
AT1G01270	AT1G01270	2	2	2	2	2	2
AT1G01280	CYP703A2	1658.712	1663.80712638004	1640.43	1692.701	1663.80712638004	1663.80712638004
AT1G01290	CNX3	758.166633422927	712.423822365399	708.648	681.965008776126	735.678887947756	730.347826975534
